tag,word
sadness,the blues
sadness,the dumps
disgust,disgust
disgust,antipathy
disgust,aversion
disgust,dislike
disgust,distaste
disgust,hatred
disgust,loathing
disgust,repulsion
disgust,revulsion
disgust,abhorrence
disgust,abomination
disgust,detestation
disgust,hatefulness
disgust,nausea
disgust,objection
disgust,repugnance
disgust,revolt
disgust,satiation
disgust,satiety
disgust,sickness
disgust,surfeit
disgust,nauseation
disgust,nauseousness
surprise,surprise
surprise,amazement
surprise,astonishment
surprise,awe
surprise,bewilderment
surprise,consternation
surprise,curiosity
surprise,disappointment
surprise,jolt
surprise,miracle
surprise,revelation
surprise,shock
surprise,wonder
surprise,abruptness
surprise,attack
surprise,bombshell
surprise,disillusion
surprise,epiphany
surprise,eureka
surprise,fortune
surprise,godsend
surprise,incredulity
surprise,kick
surprise,marvel
surprise,miscalculation
surprise,phenomenon
surprise,portent
surprise,precipitance
surprise,precipitation
surprise,precipitousness
surprise,prodigy
surprise,rarity
surprise,start
surprise,stupefaction
surprise,suddenness
surprise,thunderbolt
surprise,whammy
surprise,wonderment
surprise,astoundment
surprise,curveball
surprise,eye-opener
surprise,unexpected
surprise,unforeseen
anticipation,anticipation
anticipation,apprehension
anticipation,hope
anticipation,joy
anticipation,prospect
anticipation,contemplation
anticipation,expectancy
anticipation,foresight
anticipation,foretaste
anticipation,impatience
anticipation,outlook
anticipation,preconception
anticipation,premonition
anticipation,preoccupation
anticipation,prescience
anticipation,presentiment
anticipation,promise
anticipation,trust
anticipation,awaiting
anticipation,high hopes
anticipation,looking forward
trust,trust
trust,confidence
trust,expectation
trust,faith
trust,hope
trust,assurance
trust,certainty
trust,certitude
trust,conviction
trust,credence
trust,credit
trust,dependence
trust,positiveness
trust,positive
trust,reliance
trust,stock
trust,store
trust,sureness
trust,entrustment
trust,gospel truth
arrogant,arrogant
arrogant,aloof
arrogant,bossy
arrogant,cavalier
arrogant,cocky
arrogant,haughty
arrogant,imperious
arrogant,pompous
arrogant,presumptuous
arrogant,pretentious
arrogant,smug
arrogant,vain
arrogant,assuming
arrogant,audacious
arrogant,autocratic
arrogant,biggety
arrogant,bragging
arrogant,cheeky
arrogant,cold-shoulder
arrogant,conceited
arrogant,contemptuous
arrogant,cool
arrogant,disdainful
arrogant,domineering
arrogant,egotistic
arrogant,high-and-mighty
arrogant,high-handed
arrogant,insolent
arrogant,know-it-all
arrogant,lordly
arrogant,on an ego trip
arrogant,overbearing
arrogant,peremptory
arrogant,proud
arrogant,puffed up
arrogant,scornful
arrogant,self-important
arrogant,smarty
arrogant,smarty-pants
arrogant,sniffy
arrogant,snippy
arrogant,snooty
arrogant,snotty
arrogant,stuck up
arrogant,supercilious
arrogant,superior
arrogant,swaggering
arrogant,uppity
bitter,bitter
bitter,harsh
bitter,sour
bitter,acid
bitter,astringent
bitter,tart
bitter,absinthal
bitter,absinthian
bitter,acerb
bitter,acerbic
bitter,acrid
bitter,amaroidal
bitter,unsweetened
bitter,vinegary
love,love
love,lovely
love,loveliness
love,affection
love,appreciation
love,devotion
love,emotion
love,fondness
love,friendship
love,infatuation
love,lust
love,passion
love,respect
love,tenderness
love,yearning
love,adulation
love,allegiance
love,amity
love,amorousness
love,amour
love,ardor
love,attachment
love,case
love,cherishing
love,crush
love,delight
love,devotedness
love,enchantment
love,enjoyment
love,fervor
love,fidelity
love,flame
love,hankering
love,idolatry
love,inclination
love,involvement
love,like
love,partiality
love,piety
love,rapture
love,regard
love,relish
love,sentiment
love,weakness
love,worship
love,zeal
love,ardency
love,mad for
love,soft spot
madness,mad
madness,absurdity
madness,craziness
madness,delusion
madness,foolishness
madness,hysteria
madness,lunacy
madness,mania
madness,mental illness
madness,stupidity
madness,aberration
madness,delirium
madness,derangement
madness,fanaticism
madness,irrationality
madness,neurosis
madness,phobia
madness,psychopathy
madness,psychosis
madness,unbalance
madness,mental disorder 

